시군구,0,spread
영등포구당산동,영등포구당산제2동,0.2082781955212936
영등포구당산동1가,영등포구당산제1동,0.3494413343559326
영등포구당산동2가,영등포구당산제1동,-0.1899194091384177
영등포구당산동3가,영등포구당산제1동,0.3193981685618062
영등포구당산동4가,영등포구당산제2동,0.4104164689359668
영등포구당산동5가,영등포구당산제2동,0.3763948730198004
영등포구당산동6가,영등포구당산제2동,0.7613151440393727
영등포구대림동,영등포구신길제5동,0.3846301847546721
영등포구대림동,영등포구대림제1동,0.3846301847546721
영등포구대림동,영등포구대림제2동,0.3846301847546721
영등포구대림동,영등포구대림제3동,0.3846301847546721
영등포구도림동,영등포구도림동,0.4284152731794087
영등포구문래동2가,영등포구문래동,0.6512804081124816
영등포구문래동3가,영등포구문래동,0.3592478026720931
영등포구문래동5가,영등포구문래동,0.6327645356457509
영등포구문래동6가,영등포구문래동,0.4013643253633651
영등포구신길동,영등포구영등포본동,0.5265285754899184
영등포구신길동,영등포구신길제1동,0.5265285754899184
영등포구신길동,영등포구신길제3동,0.5265285754899184
영등포구신길동,영등포구신길제4동,0.5265285754899184
영등포구신길동,영등포구신길제5동,0.5265285754899184
영등포구신길동,영등포구신길제6동,0.5265285754899184
영등포구신길동,영등포구신길제7동,0.5265285754899184
영등포구양평동1가,영등포구양평제1동,0.4021838628410694
영등포구양평동2가,영등포구양평제1동,0.2011464915970936
영등포구양평동3가,영등포구양평제1동,0.3042490551651179
영등포구양평동3가,영등포구양평제2동,0.3042490551651179
영등포구양평동4가,영등포구양평제2동,0.3198590952152488
영등포구양평동5가,영등포구양평제2동,0.4125304431076528
영등포구양평동6가,영등포구양평제2동,0.3712913087602272
영등포구여의도동,영등포구여의동,0.658827601646047
영등포구영등포동,영등포구영등포본동,0.3341596337949174
영등포구영등포동,영등포구영등포동,0.3341596337949174
영등포구영등포동1가,영등포구영등포동,0.0927676763393658
영등포구영등포동2가,영등포구영등포동,0.2531823782737581
영등포구영등포동3가,영등포구영등포동,-0.9397323714668264
영등포구영등포동4가,영등포구영등포동,-0.2361250702649706
영등포구영등포동5가,영등포구영등포동,-0.2946146542612529
영등포구영등포동7가,영등포구영등포동,0.3187701937150213
영등포구영등포동8가,영등포구영등포동,0.2841658050837958
용산구도원동,용산구용문동,0.1162132732400529
용산구동자동,용산구남영동,0.5469521966321012
용산구문배동,용산구원효로제1동,-0.0674827364913619
용산구보광동,용산구보광동,0.8243371185701545
용산구산천동,용산구원효로제2동,0.5450413730751678
용산구서빙고동,용산구서빙고동,0.7449001949842475
용산구신계동,용산구원효로제1동,0.553481715955287
용산구용문동,용산구용문동,0.4539001679988291
용산구용산동2가,용산구용산2가동,0.4289715038874887
용산구용산동5가,용산구한강로동,0.4604332713045567
용산구원효로1가,용산구원효로제1동,0.5269654214640478
용산구원효로2가,용산구원효로제1동,0.66802355897145
용산구원효로3가,용산구원효로제2동,0.4922273410726826
용산구원효로4가,용산구원효로제2동,0.6918414539798787
용산구이촌동,용산구이촌제1동,0.6502878372986046
용산구이촌동,용산구이촌제2동,0.6502878372986046
용산구이태원동,용산구이태원제1동,0.6414688574354634
용산구이태원동,용산구이태원제2동,0.6414688574354634
용산구청암동,용산구원효로제2동,0.1838567725227956
용산구청파동1가,용산구청파동,0.53067398047037
용산구청파동3가,용산구청파동,0.5787075930193137
용산구한강로1가,용산구한강로동,0.0946757635778967
용산구한강로2가,용산구한강로동,0.3671276774973971
용산구한강로3가,용산구한강로동,0.4598907764853834
용산구한남동,용산구한남동,0.6689107401596082
용산구효창동,용산구효창동,0.4915146022380587
용산구후암동,용산구후암동,0.6048191608960722
은평구갈현동,은평구갈현제1동,0.1742078540382921
은평구갈현동,은평구갈현제2동,0.1742078540382921
은평구구산동,은평구구산동,0.3195785450160873
은평구녹번동,은평구녹번동,0.4467285219684368
은평구대조동,은평구대조동,0.3434749519546124
