,density
구로구수궁동,8739
구로구가리봉동,31633
구로구구로2동,17098
구로구개봉1동,26034
구로구오류2동,12040
구로구항동,11822
금천구소계,18649
금천구가산동,10543
금천구독산1동,22762
금천구독산2동,32603
금천구독산3동,29608
금천구독산4동,27851
금천구시흥1동,19915
금천구시흥2동,16533
금천구시흥3동,10001
금천구시흥4동,23694
금천구시흥5동,13843
영등포구소계,16215
영등포구여의동,3919
영등포구당산1동,27653
영등포구당산2동,23937
영등포구양평1동,21255
영등포구양평2동,7528
영등포구신길1동,31035
영등포구신길3동,33233
영등포구신길4동,34253
영등포구신길5동,23855
영등포구신길6동,30143
영등포구신길7동,31092
영등포구대림1동,33686
영등포구대림2동,31860
영등포구대림3동,26532
영등포구영등포본동,22269
영등포구영등포동,24175
영등포구도림동,22022
영등포구문래동,21839
동작구소계,23870
동작구노량진2동,17553
동작구상도1동,30574
동작구상도2동,28553
동작구상도3동,40760
동작구상도4동,38085
동작구사당1동,29125
동작구사당3동,26292
동작구사당4동,37329
동작구사당5동,25323
동작구대방동,23907
동작구신대방1동,40513
동작구신대방2동,21791
동작구흑석동,18270
동작구노량진1동,20325
동작구사당2동,10468
관악구소계,16951
관악구보라매동,32447
관악구청림동,50017
관악구행운동,41161
관악구낙성대동,7898
관악구중앙동,40218
관악구인헌동,24184
관악구남현동,5554
관악구서원동,36171
관악구신원동,33855
관악구서림동,24607
관악구신사동,38623
관악구신림동,44217
관악구난향동,18813
관악구조원동,30582
관악구대학동,3169
관악구은천동,42508
관악구성현동,42397
관악구청룡동,31468
관악구난곡동,27791
관악구삼성동,7760
관악구미성동,22219
서초구소계,8696
서초구서초1동,14523
서초구서초2동,21719
서초구서초3동,11051
서초구서초4동,34683
서초구잠원동,14996
서초구반포본동,289
서초구반포1동,34443
서초구반포2동,11661
서초구반포3동,17791
서초구반포4동,13627
서초구방배본동,31012
서초구방배1동,24119
서초구방배2동,9613
서초구방배3동,7217
서초구방배4동,23907
서초구양재1동,7410
서초구양재2동,2872
서초구내곡동,1377
강남구소계,13522
강남구신사동,8400
강남구개포3동,14018
강남구논현1동,17664
강남구논현2동,14159
강남구삼성1동,6566
강남구삼성2동,25050
강남구대치1동,30185
강남구대치4동,26700
강남구역삼1동,15130
강남구역삼2동,32408
강남구도곡1동,20857
강남구도곡2동,32202
강남구개포1동,5450
강남구개포4동,15865
강남구일원본동,8921
강남구일원1동,16290
강남구수서동,10071
강남구세곡동,6821
강남구압구정동,10238
강남구청담동,10939
강남구대치2동,18549
강남구개포2동,11567
송파구소계,19616
송파구풍납1동,16766
송파구풍납2동,15362
송파구거여1동,24029
송파구거여2동,44802
송파구마천1동,32100
송파구마천2동,20393
송파구방이1동,30920
송파구방이2동,32943
