행정구역,elder_ratio
종로구,0.20240808889206474
종로구청운효자동,0.18971117548942149
종로구사직동,0.20360539703605396
종로구삼청동,0.2655417406749556
종로구부암동,0.20282399299474607
종로구평창동,0.20525169131980278
종로구무악동,0.18771842236645034
종로구교남동,0.17247422680412372
종로구가회동,0.21826625386996903
종로구종로1.2.3.4가동,0.2600297176820208
종로구종로5.6가동,0.19763138415988157
종로구이화동,0.1979107040641099
종로구혜화동,0.1679785107446277
종로구창신1동,0.26518973459091905
종로구창신2동,0.24704946293595015
종로구창신3동,0.2042706861359711
종로구숭인1동,0.21972318339100347
종로구숭인2동,0.17879567678847144
중구,0.20846752604917426
중구소공동,0.12454545454545454
중구회현동,0.2877208880833711
중구명동,0.2749812171299775
중구필동,0.21641791044776118
중구장충동,0.19059028534088435
중구광희동,0.19398811604334149
중구을지로동,0.1662667123757285
중구신당동,0.20177086128253288
중구다산동,0.21619797525309337
중구약수동,0.25401333662632747
중구청구동,0.22337980695572238
중구신당5동,0.18985092309211177
중구동화동,0.20522350577599197
중구황학동,0.16397955171057807
중구중림동,0.18478531683414998
용산구,0.182311521521892
용산구후암동,0.18922282371974364
용산구용산2가동,0.23007367716008037
용산구남영동,0.22863372093023257
용산구청파동,0.17269329964734986
용산구원효로1동,0.12213740458015267
용산구원효로2동,0.17885881492318947
용산구효창동,0.1496026180458158
용산구용문동,0.1961109173351936
용산구한강로동,0.1516170273213694
용산구이촌1동,0.17643995834334694
용산구이촌2동,0.2295371421364611
용산구이태원1동,0.2220195655778478
용산구이태원2동,0.21377314814814816
용산구한남동,0.19272746632593302
용산구서빙고동,0.17148331470541275
용산구보광동,0.21866840731070497
성동구,0.1752405106945532
성동구왕십리2동,0.16850247524752476
성동구왕십리도선동,0.15389874283109878
성동구마장동,0.18991302747227462
성동구사근동,0.12839300582847626
성동구행당1동,0.1638327373567832
성동구행당2동,0.18034505350513214
성동구응봉동,0.17526530067409732
성동구금호1가동,0.18937302175230655
성동구금호2.3가동,0.18565766094127295
성동구금호4가동,0.1835398479301605
성동구옥수동,0.17232437529467232
성동구성수1가1동,0.15655816951337415
성동구성수1가2동,0.16946476063829788
성동구성수2가1동,0.20286591606960083
성동구성수2가3동,0.18532055714709078
성동구송정동,0.19199837116970375
성동구용답동,0.18857190663431775
광진구,0.16578531449418307
광진구화양동,0.10120214852076051
