,populaion,density,foreign_rate,bsc_lvlhood_ratio,avg_income_amt,elder_ratio,label
성동구성수2가3동,10447.0,2.0,0.0228773810663348,0.0471609130352763,8.64068081382227,0.1853205571470907,0.0
성동구송정동,10302.0,2.0,0.0382450009706853,0.1357182371381154,8.382387844799672,0.1919983711697037,0.0
성동구용답동,12821.0,2.0,0.0748771546681226,0.1220582369365775,8.36470146809271,0.1885719066343177,1.0
성동구왕십리도선동,26903.0,2.0,0.0185109467345649,0.0753435863874345,8.331788486602296,0.1538987428310987,1.0
성동구금호2.3가동,22219.0,2.0,0.0074710833070795,0.0778182554138838,8.362763806087543,0.1856576609412729,0.0
성동구옥수동,25693.0,2.0,0.0097302767290701,0.0495021866567414,8.531796048800171,0.1723243752946723,1.0
광진구화양동,27438.0,1.0,0.1461476784022159,0.0400087690452702,8.728668937862766,0.1012021485207605,1.0
광진구군자동,21530.0,2.0,0.1040408732001857,0.0808817072099762,8.604438207776731,0.1690632489319579,0.0
광진구중곡1동,15766.0,2.0,0.0256881897754661,0.114507352089846,8.527939245201885,0.1759758181101327,0.0
광진구중곡2동,21111.0,2.0,0.0158685045710766,0.0876617288580536,8.527939245201885,0.1726346433770014,0.0
광진구중곡3동,16119.0,2.0,0.0158818785284446,0.1407035175879397,8.527939245201885,0.1924004059883278,0.0
광진구중곡4동,28142.0,2.0,0.0129344040935256,0.1169563891430314,8.527939245201885,0.2018013455834478,0.0
광진구능동,11564.0,2.0,0.0338983050847457,0.0592787494195944,8.85262345680249,0.154392590594371,0.0
광진구구의1동,24075.0,2.0,0.0281204569055036,0.0741078208048595,8.705776767444954,0.148036513951085,0.0
광진구구의2동,26410.0,2.0,0.0216584627035213,0.0983150946673614,8.705776767444954,0.1829661576718343,0.0
광진구구의3동,28281.0,2.0,0.0084862628619921,0.0457629923866269,8.705776767444954,0.1633642041783329,0.0
광진구광장동,34237.0,3.0,0.005812425154073,0.0229078613693998,8.699049640064166,0.1219147125289819,1.0
광진구자양1동,22979.0,2.0,0.0380347273597632,0.1071724366407155,8.598811887336879,0.1722662296276063,0.0
광진구자양2동,24059.0,2.0,0.0132175069620516,0.0814801144228107,8.598811887336879,0.1820369901190777,0.0
광진구자양3동,27713.0,2.0,0.0116551798794789,0.0346206269877328,8.598811887336879,0.1703369301915877,0.0
광진구자양4동,21396.0,2.0,0.1610581417087306,0.0974398909763457,8.598811887336879,0.2035643964255061,0.0
동대문구전농1동,29227.0,2.0,0.0217607007219351,0.1239373903656726,8.216212415229013,0.1945609394154461,0.0
동대문구전농2동,18540.0,2.0,0.022168284789644,0.1062706270627062,8.216212415229013,0.2162416330143276,0.0
동대문구답십리1동,28434.0,2.0,0.0148062179081381,0.0672987255206714,8.209030822102116,0.1538819153881915,0.0
동대문구답십리2동,27918.0,2.0,0.0098860949924779,0.1049141030763084,8.209030822102116,0.2150732627303061,0.0
동대문구장안1동,38402.0,2.0,0.0166397583459194,0.0880865640802566,8.270832188925842,0.1877382380381181,0.0
동대문구장안2동,32768.0,2.0,0.00927734375,0.0957387160078497,8.270832188925842,0.1743700061462815,0.0
동대문구회기동,13577.0,2.0,0.2284009722324519,0.0541989279332936,8.416928558553444,0.1488015340364333,1.0
동대문구휘경1동,16279.0,2.0,0.1459549112353338,0.0495125705489994,8.320019485463737,0.1575372163607457,0.0
동대문구휘경2동,25325.0,2.0,0.0358538993089832,0.0550121292745911,8.320019485463737,0.1736738380686484,0.0
동대문구이문1동,21266.0,2.0,0.1609141352393492,0.0692515611893,8.241887547365833,0.1832159230683216,0.0
동대문구이문2동,20026.0,2.0,0.0257665035453909,0.1161372007366482,8.241887547365833,0.2175699974312869,0.0
동대문구청량리동,19438.0,2.0,0.0285008745755736,0.1725983939724397,8.084648724704122,0.2953422911466355,1.0
동대문구용신동,38161.0,2.0,0.0436309321034564,0.0799086757990867,8.1192125050177,0.1695732645134381,1.0
동대문구제기동,26306.0,2.0,0.0883068501482551,0.1172926738564522,8.134174272137903,0.2463687628161312,1.0
중랑구면목2동,24153.0,2.0,0.0158158406823168,0.14012582727347,8.201931609962395,0.2097707216146603,0.0
중랑구면목4동,18645.0,2.0,0.0160901045856798,0.2019897160742231,8.201931609962395,0.221832337299194,0.0
중랑구면목5동,14769.0,2.0,0.0090053490419121,0.1262618419009163,8.201931609962395,0.1702637889688249,0.0
중랑구면목7동,21732.0,2.0,0.015000920301859,0.1071630537229029,8.201931609962395,0.2158658588135832,0.0
중랑구상봉1동,23537.0,2.0,0.0068827803033521,0.1692505184161153,8.290984948729182,0.1811547542391071,0.0
중랑구상봉2동,20613.0,2.0,0.0190171251152185,0.0891097107771853,8.290984948729182,0.1568240173809994,0.0
중랑구중화1동,19128.0,2.0,0.0101421999163529,0.1232983708993528,8.28577298287545,0.2113743573435098,0.0
중랑구중화2동,24643.0,2.0,0.0181390252810128,0.184700257447591,8.28577298287545,0.2219439923208547,0.0
중랑구묵1동,34094.0,2.0,0.0065114096321933,0.0845305713331106,8.337164204674165,0.1886758910847086,0.0
중랑구묵2동,18597.0,2.0,0.0141958380383932,0.1186751537382673,8.337164204674165,0.2131759538841614,0.0
중랑구망우3동,16219.0,2.0,0.0236142795486774,0.2335562310030395,8.27585002729132,0.2318288579953024,0.0
중랑구신내1동,38472.0,3.0,0.0041068829278436,0.1401737967914438,8.252651959072756,0.1987288914567849,1.0
중랑구신내2동,19975.0,2.0,0.004055068836045,0.1609657947686116,8.252651959072756,0.2260944119427073,1.0
중랑구면목본동,33677.0,2.0,0.0221219229741366,0.1429777652687869,8.201931609962395,0.1979698516897641,1.0
중랑구면목3.8동,25045.0,2.0,0.0175683769215412,0.1534746026799626,8.201931609962395,0.2211096185940489,0.0
중랑구망우본동,36017.0,2.0,0.0115223366743482,0.1322309385405496,8.27585002729132,0.199611475548298,1.0
성북구돈암1동,14463.0,2.0,0.0072599045841111,0.1024752475247524,8.238373068967128,0.2154437456324248,0.0
성북구돈암2동,23594.0,3.0,0.0048317368822582,0.0436158986985578,8.238373068967128,0.1611063829787234,0.0
성북구안암동,17178.0,2.0,0.1225986727209221,0.0486721195597293,8.33018000612467,0.1437969300285733,0.0
성북구보문동,16703.0,2.0,0.0247260971083038,0.0595953402820355,8.188187014281004,0.162202015237159,0.0
성북구정릉1동,18070.0,2.0,0.0123962368566685,0.0576294277929155,8.231435931989418,0.1831838565022421,0.0
성북구정릉2동,22940.0,2.0,0.0112467306015693,0.076127347594657,8.223129466131658,0.2124347749181922,0.0
성북구정릉3동,16705.0,2.0,0.0953606704579467,0.0912717601547388,8.207649894209776,0.2302522126838357,0.0
성북구정릉4동,24731.0,2.0,0.0185192673163236,0.0787328640237124,8.207649894209776,0.2135352031107801,0.0
성북구길음1동,34957.0,3.0,0.0042051663472265,0.047523480773862,8.254669314211311,0.1405270122547609,0.0
성북구길음2동,22003.0,2.0,0.006180975321547,0.0588705077010838,8.214195768764455,0.1512257827564043,0.0
성북구월곡1동,26036.0,2.0,0.0082962052542633,0.0939721222191452,8.172014765676463,0.1972368165012648,0.0
성북구월곡2동,19693.0,2.0,0.0299598842228202,0.076891447368421,8.16219683785606,0.2000944584382871,0.0
성북구장위1동,23936.0,2.0,0.0094000668449197,0.1884831460674157,8.244039732347748,0.1841410442040712,0.0
성북구장위2동,13518.0,2.0,0.018050007397544,0.1623415811707906,8.244039732347748,0.2428086070215175,0.0
성북구성북동,16701.0,2.0,0.0382611819651517,0.0510554737358861,8.55771258015598,0.1938309453794656,1.0
성북구삼선동,23026.0,2.0,0.0272300877269173,0.0750737719145981,8.279581098741042,0.1852317642831477,1.0
성북구동선동,15884.0,2.0,0.0545202719717955,0.047653730100926,8.31952700566883,0.1471821145784816,1.0
성북구종암동,39904.0,2.0,0.0483911387329591,0.0816433566433566,8.209128803681658,0.1900298365590262,1.0
성북구석관동,35108.0,2.0,0.0253218639626296,0.1125096939688599,8.188730790242836,0.2249831115810497,1.0
강북구번1동,18455.0,2.0,0.0299105933351395,0.1177546697477373,8.199766432780896,0.2150030859002412,1.0
강북구번2동,15188.0,2.0,0.0053989992099025,0.2525780099102718,8.199766432780896,0.2809641450223676,1.0
강북구번3동,16514.0,2.0,0.0040571636187477,0.3738060970822975,8.199766432780896,0.3010648007301491,1.0
강북구수유1동,20360.0,2.0,0.0140962671905697,0.1469294050124354,8.204619886650493,0.2330271565495207,1.0
강북구수유2동,20931.0,2.0,0.0083130285222875,0.1391198539849929,8.204619886650493,0.2538729666924864,1.0
강북구수유3동,23781.0,2.0,0.0346915604894663,0.1275237529691211,8.204619886650493,0.2154480364504231,1.0
강북구삼양동,22887.0,2.0,0.0083016559618997,0.1591013296652911,8.1511055149496,0.2282382156001951,1.0
강북구미아동,21655.0,2.0,0.0283537289309628,0.1093643198906356,8.1511055149496,0.2292043830395426,1.0
강북구송중동,29645.0,2.0,0.0220273233260246,0.1076801834073649,8.1511055149496,0.2196230868010967,1.0
강북구송천동,25610.0,2.0,0.0167122217883639,0.1427922814982974,8.1511055149496,0.2577464224155209,1.0
강북구삼각산동,30866.0,3.0,0.003660986198406,0.114387303789784,8.1511055149496,0.1586727882517664,1.0
강북구우이동,20202.0,2.0,0.0084645084645084,0.127215849843587,8.207624000625591,0.254527213443692,1.0
강북구인수동,29679.0,2.0,0.0078506688230735,0.1485273492286115,8.204619886650493,0.2544459644322845,1.0
도봉구쌍문1동,21292.0,2.0,0.0209468344918279,0.1349491955969517,8.21998051334766,0.2370148677350839,0.0
도봉구쌍문2동,18278.0,2.0,0.00798774482985,0.1242818618829874,8.21998051334766,0.232775398987933,0.0
도봉구쌍문3동,16792.0,2.0,0.0103620771796093,0.1142752829499817,8.21998051334766,0.219003757120349,0.0
도봉구쌍문4동,18273.0,3.0,0.0029551797734362,0.0507614213197969,8.21998051334766,0.1892904363155575,0.0
도봉구방학1동,28162.0,2.0,0.0086641573751864,0.1444925742574257,8.249279758754962,0.2291546658986175,0.0
도봉구방학2동,19026.0,2.0,0.010249132765689,0.2660162601626016,8.249279758754962,0.2531950163092882,0.0
도봉구방학3동,26363.0,3.0,0.0026173045556272,0.0411165978030837,8.249279758754962,0.2160913395448297,0.0
도봉구창1동,24358.0,2.0,0.0064455209787338,0.0558033682294037,8.22502641101143,0.2090418913313977,0.0
도봉구창2동,28694.0,2.0,0.0097929880811319,0.1027211966900063,8.22502641101143,0.2007423117709438,0.0
도봉구창3동,13457.0,2.0,0.0072824552277625,0.1788983708301008,8.22502641101143,0.2349180081239657,0.0
도봉구창4동,26006.0,2.0,0.0039606244712758,0.0332260507383566,8.22502641101143,0.1816330451488953,0.0
도봉구창5동,24137.0,2.0,0.0053444918589717,0.0609684947491248,8.22502641101143,0.2019801152978527,0.0
도봉구도봉1동,20397.0,2.0,0.0073540226503897,0.1562378167641325,8.18812507651018,0.3035075516693163,0.0
도봉구도봉2동,26151.0,2.0,0.0058888761424037,0.0920648464163822,8.18812507651018,0.2711184793923738,0.0
노원구월계1동,21484.0,2.0,0.0318841928877304,0.0886856233843706,8.289388795219834,0.2127813737803111,1.0
노원구월계2동,25980.0,2.0,0.0056197074672825,0.2661235573659199,8.289388795219834,0.2442873325260732,1.0
노원구월계3동,29131.0,2.0,0.0060760015104184,0.161400512382579,8.289388795219834,0.2276702061211742,1.0
노원구공릉1동,36967.0,2.0,0.0196661887629507,0.1314813819783998,8.460030071682864,0.1967870375490792,1.0
노원구공릉2동,42565.0,2.0,0.0202748737225419,0.0542531062011581,8.460030071682864,0.1481881968473664,1.0
노원구하계1동,27174.0,2.0,0.0205343342901302,0.2332155477031802,8.326848333853414,0.1837337982263321,0.0
노원구하계2동,21423.0,3.0,0.0026140129767072,0.1519157791651365,8.326848333853414,0.1657698965985121,0.0
노원구중계본동,23161.0,3.0,0.0026769137774707,0.0754716981132075,8.108063376465324,0.1189578185286339,0.0
노원구중계1동,26489.0,3.0,0.0040016610668579,0.0882188095504988,8.108063376465324,0.1021431828545371,0.0
노원구중계4동,19464.0,2.0,0.0059083436087135,0.2225461613216715,8.108063376465324,0.2216362971858194,1.0
노원구상계1동,37422.0,2.0,0.0039816150927262,0.1223312175418349,8.209847042069727,0.2111814630203421,1.0
노원구상계2동,19566.0,2.0,0.008228559746499,0.120585501858736,8.209847042069727,0.1913721413721413,1.0
노원구상계5동,23436.0,2.0,0.0059310462536268,0.1881224303334856,8.209847042069727,0.2332957795302886,1.0
노원구상계8동,22056.0,2.0,0.0021309394269133,0.0387443749314016,8.209847042069727,0.1447254103982806,1.0
노원구상계9동,19895.0,2.0,0.004423221915054,0.0632865875584322,8.209847042069727,0.1946543591824314,1.0
노원구상계10동,18316.0,2.0,0.0034942127101987,0.0572289156626506,8.209847042069727,0.1646076977982759,1.0
노원구중계2.3동,33059.0,2.0,0.0037508696572794,0.3271276595744681,8.108063376465324,0.2401334925446251,0.0
노원구상계3.4동,25119.0,2.0,0.0047772602412516,0.2247481270989408,8.209847042069727,0.2389396709323583,1.0
노원구상계6.7동,31934.0,2.0,0.0046971879501471,0.0774374460742019,8.209847042069727,0.1718016989983517,1.0
은평구녹번동,36715.0,2.0,0.0107040719052158,0.0990429809162466,8.43877532963203,0.2082653766413268,1.0
은평구불광1동,37995.0,2.0,0.0068430056586392,0.1041396789636722,8.37569874912943,0.2177801437317008,0.0
은평구불광2동,27230.0,2.0,0.0086301872934263,0.1585409126392733,8.37569874912943,0.2361204262612713,0.0
은평구갈현1동,14993.0,2.0,0.0105382511838858,0.2391015417331206,8.388200056731867,0.2166791783252576,0.0
은평구갈현2동,27963.0,2.0,0.0090834316775739,0.1157760814249363,8.388200056731867,0.1965957755679756,0.0
은평구구산동,31861.0,2.0,0.0069363799001914,0.1135674676524953,8.420157924504402,0.2081601573653986,1.0
은평구대조동,27650.0,2.0,0.0130922242314647,0.1048721151949503,8.418821530055972,0.1942098914354644,1.0
은평구응암1동,33232.0,2.0,0.0094788155994222,0.0764596848934198,8.308100463324687,0.1706334675942878,0.0
은평구응암2동,27885.0,2.0,0.0071005917159763,0.0963629880549117,8.308100463324687,0.1553968311518799,0.0
은평구응암3동,24019.0,2.0,0.015862442233232,0.1525585844093735,8.308100463324687,0.2499044058291201,0.0
은평구신사1동,26889.0,2.0,0.0080702145858901,0.0912033195020746,8.280665470366545,0.2056662773612628,0.0
은평구신사2동,19333.0,2.0,0.0076035793720581,0.1276814240073026,8.280665470366545,0.2132441964520713,0.0
은평구증산동,18625.0,2.0,0.0080536912751677,0.0847668910496135,8.392001781396056,0.2012085578964559,1.0
은평구수색동,13319.0,2.0,0.0060064569412118,0.1022443890274314,8.28202260438925,0.1551255230125523,1.0
은평구진관동,54896.0,3.0,0.0039711454386476,0.0743925233644859,8.265099602525668,0.1659294877677244,0.0
은평구역촌동,44690.0,2.0,0.0091295591855001,0.1140215716486903,8.435145475055485,0.205969200018171,1.0
서대문구천연동,16892.0,2.0,0.0119583234667298,0.0984977139124755,8.238849777635817,0.2008415990381725,1.0
서대문구홍제1동,25120.0,2.0,0.0098328025477707,0.0711701935250497,8.328110429098773,0.2011438698243918,0.0
서대문구홍제2동,13335.0,2.0,0.0071991001124859,0.1036870347931452,8.328110429098773,0.2149073023079833,0.0
서대문구홍제3동,17938.0,2.0,0.009365592596722,0.0937655860349127,8.328110429098773,0.2282510705431598,0.0
서대문구홍은1동,22639.0,2.0,0.0102919740271213,0.0797502047502047,8.25077411730806,0.2148088241901424,0.0
서대문구홍은2동,29559.0,2.0,0.0270983456815183,0.0928949357520786,8.25077411730806,0.1943747386030949,0.0
서대문구남가좌1동,16966.0,3.0,0.0143227631734056,0.0465455724943237,8.280140859915779,0.1392329324477951,0.0
서대문구남가좌2동,30497.0,2.0,0.0402990458077843,0.099379810206979,8.280140859915779,0.1752259654889071,0.0
서대문구북가좌1동,17762.0,3.0,0.0055173966895619,0.0796836091987695,8.426158458847974,0.181590909090909,0.0
서대문구북가좌2동,31167.0,2.0,0.0108448037988898,0.1042709261671351,8.426158458847974,0.2183112324492979,0.0
서대문구충현동,20242.0,2.0,0.0229226361031518,0.0711384127613197,8.355720302862116,0.1800700187731493,1.0
서대문구북아현동,15873.0,2.0,0.0182070182070182,0.0838500563697857,8.384484317573236,0.1534241270251081,1.0
서대문구신촌동,26477.0,1.0,0.2315216980775767,0.0358967464372143,8.535043718525621,0.1053766602950546,0.0
서대문구연희동,37259.0,2.0,0.082288842964116,0.0497057249866238,8.73533545712496,0.1780990284443404,1.0
마포구용강동,21705.0,2.0,0.0194885970974429,0.0464539771502479,8.523678118748041,0.1448567402536402,1.0
마포구대흥동,16147.0,2.0,0.106087818170558,0.0550301925487068,8.512863833255008,0.1363699102829537,1.0
마포구염리동,17715.0,2.0,0.0499576629974597,0.0519097667264803,8.41607256360618,0.1267086651610602,1.0
마포구신수동,22569.0,2.0,0.0168372546413221,0.0409672262190247,8.559285546686478,0.1568848758465011,1.0
마포구서교동,26522.0,2.0,0.0854007993363999,0.0272667971298108,8.921525658328466,0.1388197211155378,0.0
마포구합정동,16897.0,2.0,0.0213647393028348,0.0611891891891891,8.915806882075298,0.1627285427929296,0.0
마포구망원1동,19632.0,2.0,0.0167583537082314,0.0708190289357528,8.624586439672568,0.1812119001719377,0.0
마포구망원2동,18312.0,2.0,0.0113586719091306,0.0630888491353607,8.624586439672568,0.1832815275310834,0.0
마포구연남동,15348.0,2.0,0.063200416992442,0.032139468690702,8.911927597594248,0.1653146853146853,0.0
마포구성산1동,18991.0,2.0,0.0189036912221578,0.0617924029203258,8.683381978740695,0.1673831273508866,0.0
마포구성산2동,39285.0,2.0,0.0086037927962326,0.1123399897593446,8.633538749952816,0.1689021873710276,0.0
마포구상암동,30650.0,2.0,0.0224796084828711,0.0957730986800754,8.659381752386922,0.1475007563279438,0.0
마포구도화동,20937.0,2.0,0.0120838706595978,0.0540279269602577,8.5388666166977,0.1894828757155331,1.0
마포구서강동,25495.0,2.0,0.0336536575799176,0.0284469292115432,8.63636157814166,0.1382775314267116,1.0
마포구공덕동,37388.0,2.0,0.0168770728576013,0.0616331994645247,8.390925071533355,0.1698180228427783,1.0
마포구아현동,28692.0,2.0,0.0178446953854733,0.0444708478316218,8.43843421496263,0.1280468558201522,1.0
양천구목1동,30403.0,3.0,0.0047034832088938,0.0333752539421495,8.602212418726065,0.1207381196468137,1.0
양천구목2동,29255.0,2.0,0.0073491710818663,0.0837888431299138,8.602212418726065,0.1582468360977964,1.0
양천구목3동,21533.0,2.0,0.0068731714113221,0.1084886949623165,8.602212418726065,0.1752746736782796,1.0
양천구목4동,24801.0,2.0,0.0065723156324341,0.0994216194654966,8.602212418726065,0.1436551949111074,1.0
양천구목5동,40548.0,3.0,0.002490875012331,0.0036621823617339,8.602212418726065,0.1288416075650118,1.0
양천구신월1동,20056.0,2.0,0.0132628639808536,0.1769494850416871,8.201059516883866,0.2326222312952944,1.0
양천구신월2동,21006.0,2.0,0.0075692659240217,0.0902921555095468,8.201059516883866,0.2067183462532299,1.0
양천구신월3동,14734.0,2.0,0.0124202524772634,0.1944836433611289,8.201059516883866,0.2236632221374575,1.0
양천구신월4동,17602.0,3.0,0.0058516077718441,0.0603762578387049,8.201059516883866,0.2096654275092936,1.0
양천구신월5동,14286.0,2.0,0.0088198236035279,0.1196754563894523,8.201059516883866,0.191901283596908,1.0
양천구신월6동,13956.0,3.0,0.0042275723703066,0.0497956150130063,8.201059516883866,0.1530054644808743,1.0
양천구신월7동,18900.0,2.0,0.0075132275132275,0.1193630998775192,8.201059516883866,0.2466259640102827,1.0
양천구신정1동,19885.0,3.0,0.0052803620819713,0.0376682898882841,8.482293210441382,0.149226477301547,1.0
양천구신정2동,18924.0,3.0,0.0049143944197844,0.1036443148688046,8.482293210441382,0.1519067796610169,1.0
양천구신정3동,50340.0,3.0,0.0064958283671036,0.1201959496995101,8.482293210441382,0.1693928750627195,1.0
양천구신정4동,32847.0,2.0,0.0196973848448869,0.1071102175105099,8.482293210441382,0.1985121745381802,1.0
양천구신정6동,23960.0,3.0,0.0009181969949916,0.0094235711663199,8.482293210441382,0.1323240349629877,1.0
양천구신정7동,28481.0,2.0,0.0056880025280011,0.1550583318822914,8.482293210441382,0.1950797684596922,1.0
강서구염창동,41521.0,3.0,0.0032995351749717,0.0140853584814411,8.565420339979266,0.1168271790156318,1.0
강서구등촌1동,25054.0,2.0,0.0089806018998962,0.0218112514999647,8.64024941048175,0.1285358405657345,0.0
강서구등촌2동,19636.0,2.0,0.0064167854960277,0.0504672897196261,8.64024941048175,0.1801514137096359,0.0
강서구등촌3동,29738.0,2.0,0.0056829645571322,0.3647986221515633,8.64024941048175,0.2496785545103877,0.0
강서구화곡본동,33781.0,2.0,0.0112489269115775,0.1089930734443872,8.430698044793145,0.1607304557802595,1.0
강서구화곡1동,52580.0,2.0,0.0184100418410041,0.0693086714958857,8.430698044793145,0.1764889487134468,0.0
강서구화곡2동,17617.0,2.0,0.0156666855877845,0.1134708737864077,8.430698044793145,0.1818816141411792,0.0
강서구화곡3동,21447.0,2.0,0.0066209726302046,0.0695000513294323,8.430698044793145,0.2102390363259928,0.0
